
# ;[];[seb europafond småbolag][seb eur småbolag][seb europa småbolag][seb europa småbolagsfond][seb europeiska småbolagsfo][seb europeiska småbolagsfond];[];[];[];[];[];[];[];[];[];[];[];[seb östeuropafond små och medelstora bolag c][seb östeuropafond små och medelstora bolag ex ryssland c];[];[];[];
# ;seb dynamisk aktiefond;seb europafond småbolag;seb europe equity fund;seb global aktiefond;seb global high yield fund c;seb green bond fund c;seb läkemedelsfond;seb nordamerikafond små och medelstora bolag a;seb nordenfond;seb pension fund c;seb realräntefond d;seb sverige expanderad;seb sweden equity fund c;seb östeuropafond små och medelstora bolag c;seligson & co euroobligation a;seligson & co global top 25 brands a;seligson & co global top 25 pharmaceuticals a;
2023-08-17;-0,040;-0,025;;-0,045;-0,055;-0,036;0,014;0,019;-0,073;-0,055;-0,012;-0,070;-0,072;-0,108;0,004;0,031;0,077;
2023-08-18;-0,042;-0,029;;-0,048;-0,055;-0,036;0,014;0,017;-0,076;-0,054;-0,012;-0,074;-0,076;-0,110;0,008;0,027;0,078;
2023-08-21;-0,040;-0,028;;-0,045;-0,055;-0,036;0,015;0,016;-0,074;-0,054;-0,013;-0,073;-0,075;-0,108;0,007;0,029;0,079;
2023-08-22;-0,038;-0,031;;-0,043;-0,055;-0,036;0,017;0,017;-0,075;-0,054;-0,013;-0,073;-0,076;-0,110;0,006;0,027;0,078;
2023-08-23;-0,037;-0,030;;-0,042;-0,054;-0,034;0,019;0,017;-0,074;-0,051;-0,012;-0,072;-0,074;-0,112;0,009;0,028;0,082;
2023-08-24;-0,034;-0,031;;-0,040;-0,054;-0,034;0,020;0,023;-0,073;-0,053;-0,012;-0,070;-0,072;-0,109;0,009;0,029;0,081;
2023-08-25;-0,037;-0,031;;-0,043;;;0,017;0,020;-0,075;;-0,012;-0,071;-0,074;;0,008;0,027;0,079;
2023-08-28;;;;;-0,053;-0,035;;;;-0,050;;;;-0,104;;;;
2023-08-29;-0,033;-0,025;;-0,039;-0,051;-0,034;0,021;0,023;-0,067;-0,047;-0,012;-0,066;-0,068;-0,105;0,008;0,029;0,081;
2023-08-30;-0,033;-0,026;;-0,038;-0,051;-0,034;0,019;0,024;-0,068;-0,048;-0,012;-0,065;-0,068;-0,107;0,006;0,030;0,080;
